Sample_Code,Sample Name,Country,Site_Code ,Site_Name,Site_Type,CNP_Scenario ,Depth_cm,Bulk_density_g_cm-3,Sand_%,Clay_%,Silt_%,pH,Soil_Organic_C_%,Total_N_%,Total_P_%,SOC/TN,TON/TP,SOC/TP,SOC_stocks_tC/ha,Al_Mehlich3_mg/kg,Ca_Mehlich3_mg/kg,Fe_Mehlich3_mg/kg,K_Mehlich3_mg/kg ,Mg_Mehlich3_mg/kg,P_Mehlich3_mg/kg,P_Morgans_mg/L
JC1-HP1-COMP10,JC1_HP1_10,Ireland ,JC1,Cowlands,Grassland,High,0-10,1.19,52.66,37.64,9.70,5.23,2.80,0.28,0.11,10.07,2.59,26.05,33.37,1444.82,1105.77,156.09,59.10,171.27,1.39,12.90
JC1-HP1-COMP30,JC1_HP1_30,Ireland ,JC1,Cowlands,Grassland,High,10-30,1.32,54.39,38.16,7.45,5.58,1.09,0.11,0.04,10.21,2.98,30.40,28.94,653.15,2133.30,250.22,51.06,58.47,30.52,1.33
JC1-HP1-COMP50,JC1_HP1_50,Ireland ,JC1,Cowlands,Grassland,High,30-50,1.29,68.93,24.62,6.45,5.86,0.40,0.04,0.02,9.99,1.68,16.76,10.31,687.51,1558.23,204.62,32.02,73.43,15.47,0.55
JC1-MP1-COMP10,JC1_MP1_10,Ireland ,JC1,Cowlands,Grassland,Medium,0-10,1.12,43.77,44.63,11.60,5.13,2.42,0.26,0.08,9.41,3.24,30.48,27.08,1340.00,1049.26,125.75,41.81,69.93,3.71,2.24
JC1-MP1-COMP30,JC1_MP1_30,Ireland ,JC1,Cowlands,Grassland,Medium,10-30,1.16,49.06,37.19,13.75,5.46,1.19,0.14,0.04,8.39,3.38,28.37,27.53,785.82,1666.48,211.56,72.05,53.23,19.73,0.63
JC1-MP1-COMP50,JC1_MP1_50,Ireland ,JC1,Cowlands,Grassland,Medium,30-50,1.27,62.04,31.21,6.75,5.68,0.18,0.03,0.01,6.17,2.39,14.75,4.55,999.94,1222.44,203.44,56.34,54.28,5.13,0.19
JC1-LP1-COMP10,JC1_LP1_10,Ireland ,JC1,Cowlands,Grassland,Low,0-10,1.07,48.00,39.75,12.25,5.08,2.37,0.22,0.05,10.68,4.44,47.41,25.37,1176.79,904.10,214.02,52.66,208.51,1.06,1.28
JC1-LP1-COMP30,JC1_LP1_30,Ireland ,JC1,Cowlands,Grassland,Low,10-30,1.32,45.86,43.29,10.85,5.34,1.07,0.11,0.02,9.76,4.40,42.97,28.29,939.39,2288.81,437.41,96.67,276.30,19.19,0.38
JC1-LP1-COMP50,JC1_LP1_50,Ireland ,JC1,Cowlands,Grassland,Low,30-50,1.68,34.06,48.19,17.75,5.81,0.27,0.03,0.01,8.93,2.34,20.85,8.98,933.15,2403.54,412.95,115.78,291.97,20.77,0.19
JC1-HP2-COMP10,JC1_HP2_10,Ireland ,JC1,Cowlands,Grassland,High,0-10,1.04,48.16,40.44,11.40,5.2,2.61,0.26,0.11,10.07,2.34,23.52,27.08,838.18,1318.95,145.98,65.67,179.88,0.19,10.30
JC1-HP2-COMP30,JC1_HP2_30,Ireland ,JC1,Cowlands,Grassland,High,10-30,1.32,53.47,37.08,9.45,5.27,1.16,0.12,0.04,9.46,3.19,30.14,30.79,770.75,2018.92,256.59,52.82,59.32,25.37,1.11
JC1-HP2-COMP50,JC1_HP2_50,Ireland ,JC1,Cowlands,Grassland,High,30-50,1.03,56.43,37.62,5.95,5.58,0.73,0.08,0.03,8.84,2.59,22.94,15.01,788.53,1513.53,231.42,42.48,65.73,13.77,1.15
JC1-MP2-COMP10,JC1_MP2_10,Ireland ,JC1,Cowlands,Grassland,Medium,0-10,1.13,45.27,42.83,11.90,5.29,2.60,0.27,0.09,9.73,3.10,30.14,29.35,1246.74,1151.88,102.84,67.52,107.44,0.93,3.45
JC1-MP2-COMP30,JC1_MP2_30,Ireland ,JC1,Cowlands,Grassland,Medium,10-30,1.23,48.28,39.37,12.35,5.59,1.32,0.14,0.04,9.20,3.55,32.68,32.62,782.45,2004.85,227.87,74.00,54.75,20.85,0.95
JC1-MP2-COMP50,JC1_MP2_50,Ireland ,JC1,Cowlands,Grassland,Medium,30-50,1.40,56.90,34.55,8.55,5.99,0.29,0.03,0.02,11.55,1.58,18.23,8.26,915.83,1340.48,231.29,43.62,62.69,11.01,0.23
JC1-LP2-COMP10,JC1_LP2_10,Ireland ,JC1,Cowlands,Grassland,Low,0-10,1.03,46.88,40.72,12.40,5,2.16,0.24,0.04,9.05,5.89,53.29,22.34,920.61,2312.56,393.64,129.15,310.41,9.40,1.97
JC1-LP2-COMP30,JC1_LP2_30,Ireland ,JC1,Cowlands,Grassland,Low,10-30,1.37,48.12,40.18,11.70,5.6,0.92,0.10,0.02,8.89,4.32,38.44,25.28,955.93,2259.51,393.57,97.03,304.49,8.59,0.39
JC1-LP2-COMP50,JC1_LP2_50,Ireland ,JC1,Cowlands,Grassland,Low,30-50,1.53,38.01,43.69,18.30,6.07,0.33,0.06,0.01,5.98,4.22,25.24,10.20,936.90,2261.61,446.37,79.11,272.39,16.62,0.17
JC1-HP3-COMP10,JC1_HP3_10,Ireland ,JC1,Cowlands,Grassland,High,0-10,1.09,49.49,31.06,19.45,5.28,2.67,0.27,0.10,10.09,2.68,27.01,29.14,1132.36,1181.90,215.15,50.42,157.43,1.05,10.90
JC1-HP3-COMP30,JC1_HP3_30,Ireland ,JC1,Cowlands,Grassland,High,10-30,1.30,51.65,38.45,9.90,5.35,0.90,0.10,0.03,9.19,3.81,34.98,23.49,766.44,2206.90,249.12,59.41,56.65,33.43,0.85
JC1-HP3-COMP50,JC1_HP3_50,Ireland ,JC1,Cowlands,Grassland,High,30-50,1.36,38.72,47.48,13.80,5.89,0.42,0.05,0.01,9.05,3.31,29.96,11.52,855.16,1693.93,219.11,47.27,55.21,16.45,0.22
JC1-MP3-COMP10,JC1_MP3_10,Ireland ,JC1,Cowlands,Grassland,Medium,0-10,1.07,42.42,42.83,14.75,5.23,3.07,0.31,0.10,9.80,3.05,29.91,32.79,1256.19,1053.73,102.78,53.94,138.43,2.07,5.39
JC1-MP3-COMP30,JC1_MP3_30,Ireland ,JC1,Cowlands,Grassland,Medium,10-30,1.24,47.25,37.75,15.00,5.76,1.05,0.11,0.04,9.28,2.89,26.81,25.96,764.84,2223.30,264.95,83.26,89.62,28.98,0.90
JC1-MP3-COMP50,JC1_MP3_50,Ireland ,JC1,Cowlands,Grassland,Medium,30-50,1.48,34.30,46.65,19.05,6.29,0.58,0.06,0.03,9.34,2.45,22.86,17.27,826.27,1443.83,233.25,49.63,110.73,13.54,0.27
JC1-LP3-COMP10,JC1_LP3_10,Ireland ,JC1,Cowlands,Grassland,Low,0-10,1.16,51.61,36.69,11.70,4.98,2.60,0.27,0.03,9.57,9.24,27.94,30.25,944.74,2244.19,456.65,82.75,274.31,16.73,1.71
JC1-LP3-COMP30,JC1_LP3_30,Ireland ,JC1,Cowlands,Grassland,Low,10-30,0.84,51.96,37.74,10.30,5.2,1.26,0.14,0.03,9.21,4.26,39.24,21.30,1059.35,2106.20,167.48,121.41,637.50,3.19,0.40
JC1-LP3-COMP50,JC1_LP3_50,Ireland ,JC1,Cowlands,Grassland,Low,30-50,1.47,64.59,31.06,4.35,5.61,0.34,0.03,0.02,11.77,1.41,16.65,9.90,928.88,2314.28,396.48,117.08,313.56,7.22,0.39
JC2-HP1-COMP10,JC2_HP1_10,Ireland ,JC2,Dairy cut,Grassland,High,0-10,1.14,46.63,37.72,15.65,6.16,2.59,0.26,0.08,9.88,3.24,32.02,29.40,729.52,1323.09,490.72,181.65,139.77,113.95,4.12
JC2-HP1-COMP30,JC2_HP1_30,Ireland ,JC2,Dairy cut,Grassland,High,10-30,1.33,47.20,37.80,15.00,6.15,1.45,0.15,0.05,9.67,2.81,27.15,38.74,666.85,1593.85,504.62,170.98,172.43,111.77,1.03
JC2-HP1-COMP50,JC2_HP1_50,Ireland ,JC2,Dairy cut,Grassland,High,30-50,1.22,32.75,43.55,23.70,6.31,0.52,0.07,0.02,6.91,3.08,21.27,12.55,723.98,1265.37,433.56,139.78,149.60,46.29,0.23
JC2-HP2-COMP10,JC2_HP2_10,Ireland ,JC2,Dairy cut,Grassland,High,0-10,1.12,42.31,42.44,15.25,6.14,2.30,0.22,0.08,10.41,2.90,30.23,25.69,602.71,1844.59,389.75,197.06,123.99,51.23,1.92
JC2-HP2-COMP30,JC2_HP2_30,Ireland ,JC2,Dairy cut,Grassland,High,10-30,1.17,45.31,38.64,16.05,6.02,1.35,0.15,0.05,8.85,3.19,28.26,31.58,662.13,1667.44,396.25,150.08,146.29,42.44,0.44
JC2-HP2-COMP50,JC2_HP2_50,Ireland ,JC2,Dairy cut,Grassland,High,30-50,1.05,45.81,35.04,19.15,6.19,1.26,0.15,0.05,8.60,3.06,26.34,26.34,734.33,914.97,453.49,96.22,86.34,16.29,0.33
JC2-HP3-COMP10,JC2_HP3_10,Ireland ,JC2,Dairy cut,Grassland,High,0-10,1.08,43.11,41.34,15.55,6.18,2.00,0.20,0.07,10.08,2.98,30.03,21.64,700.20,879.72,451.58,142.14,101.00,18.47,2.49
JC2-HP3-COMP30,JC2_HP3_30,Ireland ,JC2,Dairy cut,Grassland,High,10-30,1.40,40.40,46.42,13.19,6.15,1.11,0.11,0.04,10.00,2.73,27.34,31.09,795.24,818.72,321.95,142.45,84.96,27.42,0.36
JC2-HP3-COMP50,JC2_HP3_50,Ireland ,JC2,Dairy cut,Grassland,High,30-50,1.60,31.71,51.75,16.54,6.14,0.64,0.06,0.03,11.09,2.27,25.21,20.43,661.53,1274.12,449.52,61.98,112.52,120.98,0.24
JC2-MP1-COMP10,JC2_MP1_10,Ireland ,JC2,Dairy cut,Grassland,Medium,0-10,1.12,42.15,43.96,13.88,6.26,2.68,0.28,0.07,9.74,3.69,35.92,29.90,679.98,942.60,229.47,28.91,76.52,22.46,3.00
JC2-MP1-COMP30,JC2_MP1_30,Ireland ,JC2,Dairy cut,Grassland,Medium,10-30,1.30,46.22,40.18,13.61,6.36,1.52,0.17,0.05,9.10,3.16,28.75,39.59,856.95,452.60,208.63,20.38,78.95,12.44,0.86
